City,Name,Year,Price,Kilometers Driven,KM,State,Transmission,Fuel Type,EMI per Month
delhi-ncr,Hyundai Venue,2022,1032000,33K km,33000,UP,manual,petrol,17748
delhi-ncr,Hyundai Elite i20,2015,497000,29K km,29000,DL,manual,petrol,9046
delhi-ncr,Renault Triber,2022,632000,30K km,30000,HR,manual,petrol,10762
delhi-ncr,Tata Curvv,2024,1412000,2K km,2000,HR,automatic,petrol,
delhi-ncr,Maruti Baleno,2020,672000,25K km,25000,HR,manual,petrol,11443
delhi-ncr,Maruti Baleno,2016,426000,58K km,58000,DL,manual,petrol,7254
delhi-ncr,Hyundai Venue,2021,973000,23.5K km,23500,UP,manual,petrol,16569
delhi-ncr,Maruti Baleno,2016,493000,35.5K km,35500,DL,manual,petrol,8395
delhi-ncr,Maruti Baleno,2018,565000,56.5K km,56500,HR,manual,petrol,9621
delhi-ncr,Maruti Baleno,2016,460000,18K km,18000,DL,manual,petrol,7833
delhi-ncr,Hyundai Grand i10,2015,420000,16K km,16000,UP,manual,petrol,7645
delhi-ncr,Hyundai Creta,2018,839000,95K km,95000,UP,manual,petrol,14287
delhi-ncr,Hyundai Venue,2022,872000,49K km,49000,DL,manual,petrol,14849
delhi-ncr,Honda City,2017,740000,71.5K km,71500,HR,automatic,petrol,12601
delhi-ncr,Tata Punch,2022,668000,37.5K km,37500,DL,manual,petrol,11375
delhi-ncr,Renault Kwid,2018,374000,18K km,18000,HR,automatic,petrol,6369
delhi-ncr,Maruti Ertiga,2013,492000,44K km,44000,DL,manual,petrol+cng,13261
delhi-ncr,Maruti Swift,2017,378000,44.5K km,44500,HR,manual,petrol,6437
delhi-ncr,Hyundai Venue,2021,833000,98K km,98000,DL,automatic,petrol,14185
delhi-ncr,Maruti Baleno,2018,520000,13K km,13000,HR,automatic,petrol,8855
delhi-ncr,Maruti Ciaz,2020,779000,39.5K km,39500,DL,automatic,petrol,13265
delhi-ncr,Renault Triber,2020,530000,45K km,45000,UP,automatic,petrol,9025
delhi-ncr,Nissan Magnite,2023,890000,10.5K km,10500,HR,automatic,petrol,15156
delhi-ncr,Hyundai Creta,2019,962000,61.5K km,61500,DL,automatic,diesel,16382
delhi-ncr,Hyundai New i20,2022,768000,17K km,17000,DL,manual,petrol,13078
delhi-ncr,Hyundai Grand i10,2014,367000,44.5K km,44500,DL,manual,petrol,7876
delhi-ncr,Ford EcoSport,2018,604000,90K km,90000,DL,manual,petrol,10285
delhi-ncr,Maruti Baleno,2018,619000,50K km,50000,DL,automatic,petrol,10541
delhi-ncr,Hyundai Creta,2016,697000,88.5K km,88500,UP,manual,petrol,11869
delhi-ncr,Tata Nexon,2019,763000,30K km,30000,DL,automatic,petrol,12993
delhi-ncr,Hyundai New i20,2022,960000,20.5K km,20500,UP,automatic,petrol,16348
delhi-ncr,Honda City,2017,630000,92.5K km,92500,DL,automatic,petrol,10728
delhi-ncr,Hyundai Xcent,2014,316000,102.5K km,102500,DL,manual,petrol,6358
delhi-ncr,Maruti Swift,2020,611000,64K km,64000,DL,automatic,petrol,10404
delhi-ncr,Maruti Ertiga,2014,475000,95K km,95000,DL,manual,petrol+cng,10194
delhi-ncr,Maruti Vitara Brezza,2019,604000,75.5K km,75500,HR,manual,diesel,10285
delhi-ncr,Hyundai Grand i10,2017,498000,31K km,31000,DL,automatic,petrol,8480
delhi-ncr,Renault Kwid,2022,362000,65.5K km,65500,HR,manual,petrol,6164
delhi-ncr,Maruti Celerio,2015,272000,55.5K km,55500,DL,manual,petrol,4951
delhi-ncr,Honda City,2013,359000,41K km,41000,DL,manual,petrol,9676
delhi-ncr,Hyundai New i20,2021,749000,56.5K km,56500,HR,manual,petrol,12755
delhi-ncr,Hyundai Elite i20,2020,722000,15.5K km,15500,DL,automatic,petrol,12295
delhi-ncr,Tata Nexon,2023,899000,16.5K km,16500,DL,automatic,petrol,15309
delhi-ncr,Maruti Ciaz,2022,859000,15K km,15000,UP,manual,petrol,14628
delhi-ncr,Hyundai New Santro 1.1,2018,397000,33.5K km,33500,DL,manual,petrol,6338
delhi-ncr,Hyundai New Santro 1.1,2021,476000,24.5K km,24500,DL,manual,petrol,7599
delhi-ncr,Renault Kiger,2024,757000,20K km,20000,DL,manual,petrol,12891
delhi-ncr,Hyundai New Santro 1.1,2019,462000,56.5K km,56500,DL,manual,petrol+cng,7375
delhi-ncr,Nissan Magnite,2021,825000,24K km,24000,DL,automatic,petrol,14049
delhi-ncr,Maruti Ignis,2019,440000,43K km,43000,HR,manual,petrol,7492
delhi-ncr,Mahindra Thar,2022,1240000,39K km,39000,HR,automatic,petrol,21324
delhi-ncr,Maruti Celerio,2018,352000,101K km,101000,DL,manual,petrol,5994
delhi-ncr,Honda Amaze,2020,729000,17.5K km,17500,UP,automatic,petrol,12414
delhi-ncr,Renault Triber,2021,455000,72.5K km,72500,HR,manual,petrol,7748
delhi-ncr,Hyundai New Santro 1.1,2020,511000,30.5K km,30500,DL,manual,petrol+cng,8158
delhi-ncr,Maruti Baleno,2016,453000,40K km,40000,DL,manual,petrol,7714
delhi-ncr,Volkswagen Polo,2013,334000,96.5K km,96500,DL,manual,petrol,8440
delhi-ncr,Kia Seltos,2021,1125000,52K km,52000,HR,manual,diesel,19348
delhi-ncr,Hyundai Grand i10 Nios,2021,570000,21.5K km,21500,DL,manual,petrol,9706
delhi-ncr,Ford EcoSport,2014,425000,112K km,112000,DL,automatic,petrol,9121
delhi-ncr,Hyundai Creta,2018,924000,54.5K km,54500,DL,automatic,petrol,15735
delhi-ncr,Kia Sonet,2021,997000,37.5K km,37500,HR,manual,petrol,16978
delhi-ncr,Kia Seltos,2021,1183000,73K km,73000,HR,automatic,petrol,20344
delhi-ncr,Maruti XL6,2022,1048000,48.5K km,48500,HR,automatic,petrol,18023
delhi-ncr,Renault Triber,2020,542000,31K km,31000,UP,manual,petrol,9229
delhi-ncr,Tata Nexon,2020,825000,26K km,26000,UP,automatic,petrol,14049
delhi-ncr,Maruti Dzire,2017,470000,39.5K km,39500,HR,manual,petrol,8003
delhi-ncr,Tata Altroz,2022,778000,11K km,11000,HR,automatic,petrol,13248
delhi-ncr,Maruti Brezza,2023,1054000,32K km,32000,HR,manual,petrol+cng,18119
delhi-ncr,Maruti Baleno,2017,543000,44K km,44000,DL,automatic,petrol,9246
delhi-ncr,Maruti Ciaz,2018,631000,67K km,67000,UP,manual,petrol,10745
delhi-ncr,Renault Kwid,2022,356000,70K km,70000,HR,manual,petrol,6062
delhi-ncr,Maruti Wagon R 1.0,2013,229000,84K km,84000,DL,manual,petrol,6350
